Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;350;Serviço;985529-200/2027;Prestação de serviços de transporte coletivo de passageiros;Catálogo do Compras.gov.br;Serviço;643;SERVIÇOS DE TRANSPORTE RODOVIÁRIO;;;;;-;0,0000;0,0000;30000,0000;0,0000;10/03/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;351;Material;985529-182/2027;Aquisição de tubos de concreto;Catálogo do Compras.gov.br;Material;5630;TUBOS E CONDUTOS, NÃO METÁLICOS, PARA CONSTRUÇÃO;;;;;-;0,0000;0,0000;20000,0000;0,0000;21/10/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;352;Serviço;985529-202/2027;Confecção de materiais gráficos e de serigrafia;Catálogo do Compras.gov.br;Serviço;891;SERVIÇOS DE REPRODUÇÃO, PUBLICAÇÃO E IMPRESSÃO;;;;;-;0,0000;0,0000;10000,0000;0,0000;30/12/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;353;Serviço;985529-204/2027;Auxílio estudantil;Catálogo do Compras.gov.br;Serviço;923;SERVIÇOS DE EDUCAÇÃO SUPERIOR;;;12793;SERVIÇO EDUCACIONAL - PÓS - GRADUAÇÃO / DOUTORADO;-;1,0000;450000,0000;450000,0000;0,0000;26/02/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;354;Material;985529-201/2027;Execução de obras públicas e instalações, sob o regime de empreitada global, incluso materiais e mão;Catálogo do Compras.gov.br;Serviço;545;TIPOS ESPECIAIS DE SERVIÇOS DE CONSTRUÇÃO;;;;;-;0,0000;0,0000;700000,0000;0,0000;05/02/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;355;Serviço;985529-207/2027;Contratação de entidade para o atendimento a RADIODIFUSÃO;Catálogo do Compras.gov.br;Serviço;961;SERVIÇOS AUDIOVISUAIS E RELACIONADOS(AFINS);;;20923;RADIODIFUSÃO;-;1,0000;60000,0000;60000,0000;0,0000;26/02/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;356;Serviço;985529-209/2027;Prestação de serviços como cirurgião dentista especialista em odontopediatria e auxiliar de saúde;Catálogo do Compras.gov.br;Serviço;931;SERVIÇOS DE SAÚDE HUMANA;;;;;-;0,0000;0,0000;130000,0000;0,0000;28/01/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;357;Serviço;985529-208/2027;Execução de pequenas obras, reparos e melhorias nos prédios públicos e instalações prediais;Catálogo do Compras.gov.br;Serviço;713;SERVIÇOS DE SEGUROS E DE PENSÕES(EXCETO SERVIÇO DE RESEGURO)EXCETO SERVIÇOS DE SEGURIDADE SOCIAL COMPULSÓRIA;;;;;-;0,0000;0,0000;1000,0000;0,0000;25/02/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;358;Serviço;985529-208/2027;Execução de pequenas obras, reparos e melhorias nos prédios públicos e instalações prediais;Catálogo do Compras.gov.br;Serviço;713;SERVIÇOS DE SEGUROS E DE PENSÕES(EXCETO SERVIÇO DE RESEGURO)EXCETO SERVIÇOS DE SEGURIDADE SOCIAL COMPULSÓRIA;;;;;-;0,0000;0,0000;20000,0000;0,0000;25/02/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;359;Serviço;985529-208/2027;Execução de pequenas obras, reparos e melhorias nos prédios públicos e instalações prediais;Catálogo do Compras.gov.br;Serviço;713;SERVIÇOS DE SEGUROS E DE PENSÕES(EXCETO SERVIÇO DE RESEGURO)EXCETO SERVIÇOS DE SEGURIDADE SOCIAL COMPULSÓRIA;;;;;-;0,0000;0,0000;500,0000;0,0000;25/02/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;360;Serviço;985529-208/2027;Execução de pequenas obras, reparos e melhorias nos prédios públicos e instalações prediais;Catálogo do Compras.gov.br;Serviço;713;SERVIÇOS DE SEGUROS E DE PENSÕES(EXCETO SERVIÇO DE RESEGURO)EXCETO SERVIÇOS DE SEGURIDADE SOCIAL COMPULSÓRIA;;;30126;SEGURO PATRIMONIAL;-;1,0000;6000,0000;6000,0000;0,0000;25/02/2027
